,pretty_comp,act_layer_1_0,act_layer_1_1,act_layer_2_0,act_layer_2_1,act_layer_3_0,act_layer_3_1,act_layer_4_0,act_layer_4_1,act_layer_5_0,act_layer_5_1,act_layer_6_0,act_layer_6_1,act_layer_7_0,act_layer_7_1,act_layer_8_0,act_layer_8_1,act_layer_9_0,act_layer_9_1,act_layer_10_0,act_layer_10_1,act_layer_11_0,act_layer_11_1,act_layer_12_0,act_layer_12_1,act_layer_13_0,act_layer_13_1,act_layer_14_0,act_layer_14_1,act_layer_15_0,act_layer_15_1,act_layer_16_0,act_layer_16_1
0,YbO,1.66467211997,-2.27656425777,-130.592364647,-74.3512023908,-1539.09318056,526.703198676,-69733.5078163,-1545.43372628,-226647.263414,-40257.816523,-64606.7849747,11515.7986104,-111265.701658,126.596291705,-178310.261282,1070.44429361,-24350.4807203,-1.31792866996,-11339.4817289,29.2946544533,-3649.15587066,-839.775911979,-821.651184924,16.0416561574,-252.741905602,3.87167147462,-41.7508370966,-6.35718772277,-3.83434824333,2.83372902882,-7.10622645297,5.5202569773
1,EuO,1.77038494382,-2.4007913266,-130.905761672,-74.7011922279,-1539.5026943,527.513645249,-68768.8353206,-464.083184322,-226676.355482,-40278.0765442,-64611.6546681,33627.606227,-111265.992929,424.811439241,-178310.256959,109.604605655,-24350.4826866,-1.76903937999,-11335.8005518,75.7073168369,-3649.17176499,-839.806570771,-821.651761226,40.3677581917,-252.742027324,9.45614575964,-41.7508497373,-6.35720672541,-3.65392261919,3.33324091061,-7.73855407624,6.08267708067
2,CaO,2.06800619194,-2.20930062946,-131.701794787,-76.4515211074,-1537.77044018,528.376721936,-68795.2044888,-633.522051589,-226675.508079,-40277.4864041,-64611.5128226,32983.5284149,-111265.984445,416.124946425,-178310.272861,3054.91051484,-24350.4834153,-1.93620728464,-11334.4364203,92.9064398864,-3649.17675246,-839.81619116,-821.651942064,48.0010204569,-252.74206552,11.208492952,-41.750853874,-6.35721294408,-3.5776992407,3.49729702749,-7.86751512582,6.19738073138
3,LiF,0.574968558494,-1.43978871677,-134.995531109,-72.3806736485,-1532.80770198,537.39974892,-69150.6126447,-892.258632903,-226655.462441,-40263.5264118,-64608.157402,17747.5768327,-111265.783747,210.64236811,-178310.264643,1646.50677605,-24350.4815026,-1.49740622703,-11338.0171471,47.7602566388,-3649.16289141,-839.789454398,-821.651439485,26.7868357679,-252.741959368,6.33841193124,-41.7508673887,-6.35723324242,-3.84800391888,3.26373791262,-7.48512889878,5.85726953993
4,EuF,2.83018088195,-2.39773054744,-125.257790816,-84.9815222117,-1539.37466179,529.960136501,-68288.729937,-18.1133076244,-226667.98122,-40272.2446208,-64610.2529084,27262.6386162,-111265.909086,338.969080694,-178310.269562,2489.41900528,-24350.4826473,-1.76002322062,-11335.8741259,74.7796866013,-3649.16774753,-839.79882143,-821.65161556,34.2190730336,-252.741996558,8.04460940109,-41.7508733803,-6.35724224679,-3.85178181845,3.3816849226,-7.62561699839,5.98222585782
5,ScO,1.36765468367,-1.13019786199,-106.542617269,-69.9345947883,-1539.17767303,529.517405753,-69018.3232657,-733.327175611,-226662.561934,-40268.470573,-64609.3457792,23143.6386643,-111265.854827,283.417379298,-178310.267554,2145.31566301,-24350.48218,-1.65281469513,-11336.7489746,63.7495055178,-3649.16477582,-839.793089259,-821.65150781,29.6709031638,-252.7419738,7.00049922144,-41.7508442862,-6.35719853084,-3.75436519345,3.11708032677,-7.54596780572,5.9113823496
6,LaO,2.28515846032,-2.45275276721,-113.094669454,-75.323794407,-1539.22641606,529.278697057,-69462.5875293,-1116.70532355,-226654.514243,-40262.8660766,-64607.9986839,17026.8857766,-111265.774254,200.922627266,-178310.264255,1579.88652807,-24350.4814122,-1.4766500327,-11338.1865229,45.6247503921,-3649.15976955,-839.783432606,-821.651326291,22.0088685459,-252.741935461,5.24154753747,-41.7508638521,-6.35722792758,-3.84585038782,3.19645250888,-7.4068554442,5.78764967391
7,GdO,2.33218490278,-2.28581433546,-113.554455886,-75.608227604,-1536.9127845,533.012862252,-69153.3007243,-777.729204882,-226661.323382,-40267.6080323,-64609.138459,22202.2602154,-111265.842427,270.721311628,-178310.267046,2058.29537332,-24350.4820619,-1.62570273174,-11336.9702154,60.9600814172,-3649.16381696,-839.791239703,-821.651473044,28.20337966,-252.741966456,6.66360416777,-41.7508434162,-6.35719722305,-3.77039523667,3.08260430088,-7.49319420782,5.86444318185
8,DyO,2.31701006449,-2.15821284264,-104.8728192,-77.7669868624,-1539.65706061,528.641902514,-69095.6730384,-749.449949242,-226663.513423,-40269.1331998,-64609.5050479,23866.8297192,-111265.864354,293.170846766,-178310.267944,2212.16734404,-24350.4822708,-1.67364291858,-11336.5790113,65.8924237126,-3649.16883485,-839.800918778,-821.651654984,35.8832041177,-252.742004885,8.42663961097,-41.7508473191,-6.35720309021,-3.69847990214,3.23733991786,-7.66316931619,6.01562654709
9,YbF,2.86106566364,-2.32756719887,-122.185848269,-83.8377620751,-1539.52450046,528.85829632,-68988.2249329,-693.536645769,-226658.032579,-40265.3162822,-64608.5876147,19701.0426806,-111265.809479,236.98815651,-178310.256717,89.7031403978,-24350.4815309,-1.50389205198,-11337.9642208,48.4275533657,-3649.16257631,-839.788846599,-821.65142806,26.3045817629,-252.741956955,6.22770237852,-41.7508425681,-6.35719594813,-3.78602245547,3.0489948229,-7.44174800168,5.81868465492
10,TmO,2.40332442385,-2.01795533509,-103.440691459,-69.3725175665,-1539.66249633,528.712433215,-69027.8717111,-691.933631319,-226663.766477,-40269.3094293,-64609.5474065,24059.1675163,-111265.866887,295.764839333,-178310.268048,2229.94691918,-24350.482295,-1.67918233782,-11336.5338082,66.4623474503,-3649.17069606,-839.804508898,-821.651722469,38.7317719426,-252.742019138,9.08057698696,-41.7508490818,-6.35720574006,-3.66600024912,3.3072461959,-7.71812134382,6.06450330641
11,HoO,2.41986089397,-2.21580522333,-104.404828747,-75.308963665,-1539.52854197,528.676351556,-69282.9115362,-903.613264205,-226658.753202,-40265.8181323,-64608.7082394,20248.7631176,-111265.816694,244.375090068,-178310.265993,1877.71510153,-24350.4818166,-1.56944128263,-11337.4293228,55.1716059579,-3649.16146914,-839.786710969,-821.651387916,24.6100742459,-252.741948476,5.83869885307,-41.7508414877,-6.35719432395,-3.80593073555,3.00617800569,-7.37620741203,5.76038996108
12,ErO,2.4926580912,-2.04043998037,-102.734410608,-73.2745630602,-1538.78022055,529.339782637,-69369.4734922,-982.90719176,-226659.280495,-40266.1853443,-64608.7965023,20649.5383135,-111265.821974,249.780217476,-178310.256801,94.6364871476,-24350.4816397,-1.52883928512,-11337.7606452,50.9942567642,-3649.16120886,-839.786208901,-821.651378478,24.2117092444,-252.741946483,5.74724748274,-41.750841342,-6.35719410491,-3.80861561261,3.00040359598,-7.36736856135,5.75252829708
13,LuO,2.46172256851,-1.89858403025,-108.761366851,-79.2360120274,-1539.68892737,528.908085649,-69171.8591098,-803.088105319,-226660.274726,-40266.8777374,-64608.9629255,21405.2156807,-111265.831928,259.97180435,-178310.256868,98.5669395988,-24350.4817263,-1.54871499166,-11337.5984545,53.0391750018,-3649.16476023,-839.793059183,-821.651507245,29.6470403262,-252.74197368,6.9950212133,-41.7508440933,-6.35719824082,-3.75792006378,3.10943482401,-7.5342644337,5.90097285386
14,YO,2.45351406608,-2.08425170837,-110.865606803,-68.1446914173,-1539.44432722,527.393330285,-69346.6159569,-1068.05817998,-226654.476191,-40262.8395769,-64607.9923144,16997.9639157,-111265.773873,200.532565305,-178310.264239,1577.21296373,-24350.4814085,-1.47581706989,-11338.19332,45.5390501306,-3649.16374151,-839.791094174,-821.651470308,28.0879106867,-252.741965879,6.63709614313,-41.7508435029,-6.3571973533,-3.76879880156,3.08603783496,-7.49844974066,5.86911768477
15,SmO,2.44260196751,-2.3435177424,-117.490983228,-73.1746414703,-1539.5624175,527.939141796,-69393.9348164,-1042.35878635,-226656.366958,-40264.1563266,-64608.3088082,18435.0667331,-111265.792803,219.914338109,-178310.265014,1710.05797284,-24350.4815889,-1.51720616653,-11337.8555746,49.7973798948,-3649.16292878,-839.789526475,-821.651440839,26.8440257065,-252.741959655,6.35154101987,-41.7508674348,-6.35723331172,-3.84803299294,3.26464562488,-7.48621029291,5.85823137961
16,PmO,2.26611846139,-2.24220297105,-113.122858472,-69.8022401051,-1539.23422553,528.168138904,-69940.8368585,-1540.485461,-226643.149969,-40254.9518764,-64606.0964292,8389.32161372,-111265.660474,84.4304556369,-178310.259596,781.434222443,-24350.4803279,-1.22788493947,-11340.2165084,20.0304782794,-3649.15308519,-839.77053906,-821.651083927,11.7785338049,-252.74188427,2.89299857599,-41.7510995608,-6.35758188891,-3.26037744637,4.35537469857,-6.850762908,5.29303642251
17,NaF,1.10755803711,-1.27745212619,-138.006295989,-75.0954033002,-1530.0846841,541.480995932,-69430.3933497,-1164.96450486,-226655.605907,-40263.6263228,-64608.1814166,17856.6197485,-111265.785183,212.112990254,-178310.264702,1656.58644196,-24350.4815163,-1.5005466137,-11337.9915206,48.0833565247,-3649.16108056,-839.785961426,-821.651373826,24.0153515269,-252.741945501,5.70217027181,-41.7508414562,-6.35719427662,-3.80651087047,3.00493029528,-7.37429702016,5.75869077421
18,PuO,-0.754961924983,-1.78969199718,-136.421441137,-70.4556699726,-1539.0760471,525.86158129,-70362.6389221,-2066.50597028,-226632.71701,-40247.6862543,-64604.3500663,459.615139117,-111265.556019,-22.515054315,-178306.294148,-13.8984375546,-24350.4794638,-1.02965123106,-11341.8341454,-0.364857931474,-3649.14678157,-839.758379921,-821.650855368,2.13091073245,-252.741835996,0.678221073059,-41.7509688395,-6.35738552754,-3.83754667995,2.91283540494,-5.98552815678,4.52345843744
19,BeO,-1.18587581757,-0.777358101499,-128.85616008,-61.5882753496,-1539.12135341,525.507061149,-69629.4819207,-1410.76463708,-226659.665269,-40266.453305,-64608.8609094,20941.9912964,-111265.825826,253.724448668,-178310.266202,1913.57367442,-24350.4818653,-1.58061333177,-11337.338156,56.3210454788,-3649.16551594,-839.794516893,-821.651534646,30.8036545739,-252.741979468,7.26054188769,-41.7508447674,-6.35719925429,-3.74549751327,3.13615204102,-7.57516047051,5.93734759443
20,NdO,2.48903375535,-2.33458351299,-108.560394791,-73.8418361705,-1539.50840889,527.570313628,-69742.6423535,-1354.39622234,-226650.57964,-40260.1259775,-64607.3400745,14036.339378,-111265.73486,160.590047071,-178310.262642,1303.44170883,-24350.4810368,-1.39052112061,-11338.8893561,36.7633507169,-3649.15861135,-839.781198533,-821.651284297,20.2362531989,-252.741926591,4.83461330999,-41.7508392762,-6.35719099943,-3.83710372127,2.9188234694,-7.2413957429,5.64048251106
21,MgO,0.0539677755982,-1.81159227615,-135.044103024,-73.421414314,-1536.65240063,529.530317884,-69488.7056096,-1267.29558133,-226657.219334,-40264.7499301,-64608.4514865,19082.9257934,-111265.801337,228.651813092,-178310.256662,86.4881697396,-24350.4814601,-1.48763441454,-11338.0968875,46.7548814572,-3649.16190585,-839.787553332,-821.65140375,25.2784435068,-252.741951821,5.99213448374,-41.7508418335,-6.35719484369,-3.79956003475,3.01987942529,-7.39718048603,5.779044339
22,SrO,2.13976848635,-2.04211800511,-137.868635462,-78.252833743,-1533.67609822,534.727235623,-69741.2451109,-1534.4178665,-226645.939498,-40256.8945339,-64606.5633657,10509.5393336,-111265.688403,113.025182616,-178310.260656,963.120453682,-24350.4805746,-1.28449092985,-11339.7545894,25.8544024248,-3649.15549341,-839.775184303,-821.651171245,15.464284588,-252.741902713,3.73912598926,-41.7508912651,-6.35726905551,-3.27797399489,3.03678829016,-7.06740717636,5.48572939894
23,PrO,2.40298716608,-2.39736037011,-105.937890976,-67.2184405294,-1539.55377701,527.868938654,-69625.0883653,-1281.96228843,-226649.629322,-40259.4641659,-64607.1810017,13314.0379711,-111265.725346,150.848590904,-178310.262252,1236.67254296,-24350.4809461,-1.36971858794,-11339.0591101,34.6230750522,-3649.15803195,-839.78008092,-821.651263288,19.349486808,-252.741922154,4.63104074692,-41.7508388154,-6.35719030673,-3.83652119739,2.90083402151,-7.2128194941,5.61506553382
24,ThO,-0.754961924983,-1.78969199718,-136.421441137,-70.4556699726,-1539.0760471,525.86158129,-70362.6389221,-2066.50597028,-226632.690177,-40247.6675678,-64604.3455749,439.220678811,-111265.55575,-22.790108056,-178310.255295,44.4006010684,-24350.4793269,-0.998255376031,-11342.0903434,-3.59503014681,-3649.14562915,-839.756157019,-821.650813584,0.367158357247,-252.741828544,0.274015213568,-41.7511867609,-6.35771290619,-3.55904102877,3.74874982407,-5.29432036479,3.90866771265
25,KF,1.30603189533,-0.885032316539,-138.874615799,-75.6403983243,-1530.15275359,540.857796871,-69363.7968772,-1120.12069943,-226655.005502,-40263.2081944,-64608.0809154,17400.2742671,-111265.779172,205.958404538,-178310.256514,77.7363052767,-24350.4812671,-1.44337753239,-11338.4580348,42.2014983705,-3649.16040618,-839.784660619,-821.651349375,22.9832318258,-252.741940336,5.46522950451,-41.7508407037,-6.35719314527,-3.82037830899,2.9751055285,-7.32864384452,5.71808482436
26,CeO,2.58829090228,-2.27524867323,-110.102847925,-77.7172723433,-1539.44638984,527.10711866,-69967.4977731,-1563.5155099,-226644.584885,-40255.951167,-64606.3366184,9479.94803697,-111265.67484,99.1393984246,-178310.260184,882.251083069,-24350.4804648,-1.2592953327,-11339.9601917,23.262145722,-3649.1541663,-839.772624431,-821.651123127,13.4331634323,-252.74189255,3.27284725913,-41.7508357061,-6.35718563252,-3.83259046275,2.77944539238,-7.01999860157,5.44356211958
27,RbF,1.46589676895,-0.400327530175,-138.834805161,-75.9229964066,-1529.55670782,541.796209902,-69890.6690991,-1613.57314121,-226643.482033,-40255.1831293,-64606.1520131,8641.71113953,-111265.663799,87.8343589907,-178310.259565,776.119562749,-24350.4803206,-1.22622911513,-11340.2300203,19.8601179177,-3649.15424439,-839.772775058,-821.651125958,13.5526778918,-252.741893148,3.30028394075,-41.7508358032,-6.35718577848,-3.83271320491,2.78323590467,-7.02601914432,5.4489170561
28,SrF,3.3239526916,-1.9197686973,-115.428472639,-82.7758516202,-1539.05056951,528.276885717,-69784.3295484,-1455.1865074,-226642.798394,-40254.7070363,-64606.0375795,8122.10299354,-111265.656954,80.8265637123,-178310.259294,729.766856177,-24350.4802577,-1.21178749859,-11340.3478676,18.3742876824,-3649.15286413,-839.770112664,-821.651075912,11.4402111818,-252.741882577,2.81533073681,-41.7508347055,-6.3571841283,-3.83132549937,2.74038089328,-6.95794534803,5.38836921644
29,CsF,1.16189905152,-0.258942370319,-138.064199828,-75.18355248,-1528.64827864,543.696564653,-69559.4103659,-1376.73344827,-226647.178973,-40257.7577174,-64606.7708404,11451.6189541,-111265.700813,125.730722976,-178310.261248,1064.51150262,-24350.4807123,-1.31608023892,-11339.4968127,29.1044780671,-3649.15694879,-839.777991601,-821.651224015,17.6917243607,-252.741913858,4.25047309347,-41.7509091888,-6.3572959767,-3.12498296692,3.28295370854,-7.17963327845,5.58554824856
30,AcO,-0.754961924983,-1.78969199718,-136.421441137,-70.4556699726,-1539.0760471,525.86158129,-70362.6389221,-2066.50597028,-226632.715983,-40247.6855391,-64604.3498945,458.834621918,-111265.556009,-22.5255807715,-178310.255318,48.3440070013,-24350.4793323,-0.999483981711,-11342.0803177,-3.46862467343,-3649.14573059,-839.756352682,-821.650817261,0.522406574476,-252.741828657,0.309303999272,-41.7511633533,-6.35767775099,-3.65682748622,3.7612023041,-5.41376642575,4.01490831242
31,NpO,-0.754961924983,-1.78969199718,-136.421441137,-70.4556699726,-1539.0760471,525.86158129,-70362.6389221,-2066.50597028,-226632.696328,-40247.671851,-64604.3466044,443.895359157,-111265.555812,-22.7270623286,-178310.25531,46.9630300924,-24350.4793304,-0.999053724144,-11342.0838287,-3.51289187887,-3649.14569096,-839.756276232,-821.650815824,0.461747109235,-252.741828613,0.295515759742,-41.7510796543,-6.35755199327,-3.84597731714,3.19006781672,-5.37729976793,3.98247325708
32,CaF,3.19069958063,-2.17540895344,-116.534547272,-78.9166834949,-1539.48486537,527.563371081,-69780.9259806,-1465.12191966,-226640.829053,-40253.3355665,-64605.7079334,6625.279502,-111265.637237,60.6393641243,-178310.258644,618.367060423,-24350.4801064,-1.17707987437,-11340.6310906,14.8033829091,-3649.15221617,-839.768862796,-821.651052418,10.4485081963,-252.741877615,2.58766853046,-41.7509379477,-6.35733914434,-2.93886120344,3.1003849474,-6.83618648292,5.28007150655
33,BaF,3.21348155666,-1.85228936199,-118.519758244,-81.7213519144,-1539.4323979,527.527075938,-69000.52823,-867.159327435,-226642.592441,-40254.5636083,-64606.0031051,7965.56498365,-111265.654892,78.7153831273,-178310.259149,704.89073337,-24350.4802239,-1.20403711459,-11340.4111126,17.5768872995,-3649.15277463,-839.769940015,-821.651072667,11.303224456,-252.741881892,2.78388325059,-41.7508346343,-6.35718402129,-3.83123551501,2.73760200538,-6.9535316105,5.38444344342
34,TiO,-0.363311355416,0.687403174634,-95.7283546057,-57.819827989,-1539.26333055,527.633099958,-69747.7797775,-1432.76222668,-226644.041031,-40255.5724212,-64606.245583,9066.58397999,-111265.669395,93.5644846435,-178310.259786,814.021057136,-24350.4803721,-1.23803766379,-11340.1336597,21.0750441794,-3649.15352454,-839.771386522,-821.651099857,12.4509495058,-252.741887635,3.04736322612,-41.7509032619,-6.35728709101,-3.84393691736,3.1361714144,-7.03467171935,5.45661303831
35,TbO,2.58009035577,-1.22477112714,-87.7958393767,-75.0331873709,-1539.34966747,526.637337771,-69997.0166092,-1658.28482909,-226641.146175,-40253.5564138,-64605.7610161,6866.31209974,-111265.640412,63.8900943962,-178310.258774,640.647922846,-24350.4801367,-1.18402168104,-11340.5744436,15.5175928546,-3649.15256831,-839.769542053,-821.651065186,10.9874619514,-252.741880312,2.71139457965,-41.7509410276,-6.35734380375,-3.85187153766,3.36667581736,-6.94572083078,5.37749619112
36,BaO,2.02888000974,-1.69416747622,-129.770004526,-69.5009582274,-1537.92374779,528.685033305,-69752.9859224,-1512.54969785,-226641.814338,-40254.021729,-64605.8728592,7374.15755614,-111265.647102,70.739251777,-178310.259048,687.592944214,-24350.4802004,-1.19864783513,-11340.4550906,17.0224094459,-3649.15241938,-839.769254771,-821.651059786,10.7595204494,-252.741879171,2.65906674804,-41.7508391411,-6.35719078883,-3.83199208211,2.75895950351,-6.92712739265,5.36095836641
37,LaF,3.38436539773,-2.70813944448,-99.077653385,-72.0605896292,-1539.4118617,526.856636716,-70135.4628167,-1789.35429195,-226636.895146,-40250.5959523,-64605.0494405,3635.26215584,-111265.59785,20.3139166084,-178310.257032,341.97134136,-24350.4797311,-1.09096626253,-11341.3337993,5.94355787963,-3649.14877886,-839.762232527,-821.650927787,5.18774718972,-252.741851291,1.37997039755,-41.7509134786,-6.35730240085,-3.83283861554,2.78796590645,-6.44894926825,4.93564563254
38,AcF,0.283148915825,-1.8235747501,-129.475838933,-62.9955685613,-1537.15834166,527.328825507,-69919.5023303,-1656.76571281,-226639.757863,-40252.5895781,-64605.5286278,5811.107046,-111265.626512,49.6588674241,-178310.255488,17.4583335764,-24350.4799385,-1.13856075854,-11340.9454163,10.8403323928,-3649.15071951,-839.765975877,-821.650998152,8.15789417898,-252.741866153,2.06181866804,-41.7509891469,-6.35741603719,-3.05559848742,3.51272669431,-6.70909103374,5.16702720319
39,UO,-0.754961924983,-1.78969199718,-136.421441137,-70.4556699726,-1539.0760471,525.86158129,-70362.6389221,-2066.50597028,-226632.635099,-40247.6292109,-64604.3363554,397.358028251,-111265.555199,-23.3546969004,-178310.255285,42.6611417271,-24350.4793246,-0.997713431421,-11342.0947658,-3.65078829113,-3649.14562942,-839.756157537,-821.650813593,0.367569331253,-252.741828544,0.274108631919,-41.7512166628,-6.35775793035,-3.87772093861,4.21863741128,-5.35255283458,3.96046224206
40,ZrO,0.577073616408,0.517102037311,-94.1689813689,-63.2133982259,-1538.59392649,527.970761925,-70181.020492,-1863.21704333,-226635.97108,-40249.9524233,-64604.8947621,2932.91410839,-111265.588599,10.8415681695,-178310.256653,277.046651697,-24350.4796429,-1.07073838313,-11341.4988639,3.86240635597,-3649.14821432,-839.761143571,-821.650907317,4.32371877767,-252.741846968,1.18161785713,-41.7509855985,-6.35741071592,-3.84862123335,3.26012313316,-6.40423458062,4.89587441536
41,YF,3.59992183409,-2.46029224508,-92.6986639644,-69.218191455,-1539.37864173,526.674663726,-70175.5315169,-1848.11309087,-226636.130623,-40250.0635304,-64604.9214678,3054.17650065,-111265.590196,12.4769975389,-178310.256718,288.256110011,-24350.4796581,-1.07423079433,-11341.4703649,4.22172378385,-3649.14844423,-839.761587046,-821.650915653,4.67559263532,-252.741848729,1.26239652468,-41.7509195571,-6.35731152719,-3.83288106789,2.78934374696,-6.40558614555,4.89707655687
42,DyF,3.18248035965,-2.35520364799,-89.447328456,-62.9759378341,-1539.38972778,526.75186302,-70209.3523091,-1894.72716225,-226635.439163,-40249.5819903,-64604.8057249,2528.62304505,-111265.583273,5.38901996774,-178310.256435,239.674212519,-24350.4795921,-1.05909465893,-11341.5938795,2.66443797912,-3649.14787558,-839.760490178,-821.650895035,3.80528713922,-252.741844374,1.06260294423,-41.7509346524,-6.35733419265,-3.83366013206,2.8114163198,-6.30379574569,4.80653968151
43,HfO,0.720985128281,0.423047795867,-84.6846545646,-60.1499044408,-1539.41417318,526.922372203,-70234.0796175,-1900.49393332,-226635.491627,-40249.618527,-64604.8145069,2568.49924638,-111265.583798,5.9268164295,-178310.256456,243.36035746,-24350.4795971,-1.06024311256,-11341.5845079,2.78259697413,-3649.14794019,-839.760614809,-821.650897378,3.90417505482,-252.741844869,1.08530434396,-41.7509326334,-6.35733116085,-3.83343059774,2.80542665014,-6.32259252289,4.82325836497
44,TmF,3.35494722039,-2.2003222372,-89.760140449,-64.8475842244,-1539.3647811,526.543394204,-70211.6565291,-1895.77081799,-226635.300891,-40249.4856965,-64604.7825797,2423.52788126,-111265.581889,3.97163249809,-178310.256378,229.959273373,-24350.4795789,-1.05606787832,-11341.6185788,2.35302663496,-3649.14728447,-839.75934997,-821.650873602,2.90059286419,-252.741839847,0.854914857263,-41.7510450245,-6.35749995191,-3.2076973685,3.41271463473,-6.12211086652,4.64494112918
45,HoF,3.31925120273,-2.45893896654,-91.059293126,-72.7458749027,-1539.38883035,526.732368266,-70196.554051,-1874.62890959,-226635.546616,-40249.6568221,-64604.8237115,2610.29463623,-111265.584349,6.49049887308,-178310.256479,247.223891681,-24350.4796024,-1.06144682658,-11341.5746853,2.90644158365,-3649.14788143,-839.760501453,-821.650895247,3.81423260388,-252.741844419,1.0646565375,-41.7509526398,-6.35736121306,-3.84340204707,3.08672415966,-6.2918833468,4.79594426804
46,ErF,3.39718071087,-2.21030379276,-85.2674124851,-65.6720828585,-1539.36450934,526.552479135,-70226.7944068,-1909.06409498,-226635.036096,-40249.3012905,-64604.738256,2222.26699272,-111265.579238,1.25729016469,-178310.25627,211.354836559,-24350.4795537,-1.05027149935,-11341.6658788,1.75666455024,-3649.14709664,-839.758987667,-821.650866792,2.61312539839,-252.741838408,0.788921741965,-41.7509589938,-6.35737074327,-3.83642736855,2.88362705064,-6.07718857397,4.60498525901
47,GdF,3.26159094712,-2.68088690561,-97.6118173294,-67.8417908177,-1539.39041223,526.740406319,-70230.9805372,-1898.51865573,-226634.992755,-40249.2711075,-64604.7310012,2189.32535833,-111265.578804,0.813015497715,-178310.256252,208.309694627,-24350.4795495,-1.04932275744,-11341.6736207,1.65905301208,-3649.14717956,-839.759147624,-821.650869799,2.74004203921,-252.741839043,0.818057665546,-41.7509564024,-6.35736685211,-3.83613277156,2.87593961505,-6.10131269256,4.62644231508
48,CeF,3.45194702093,-2.50302394509,-91.6925573188,-66.7613535793,-1539.36845475,526.55468551,-70218.5055707,-1900.29402896,-226635.161936,-40249.3889266,-64604.7593202,2317.91318648,-111265.580498,2.54723944159,-178310.256321,220.196302106,-24350.4795657,-1.05302613862,-11341.6434002,2.04007641165,-3649.147577,-839.759914245,-821.650884209,3.34831503912,-252.741842087,0.957697144281,-41.7509439828,-6.35734820301,-3.83472085413,2.83909577863,-6.21693441489,4.72928137925
49,PmF,3.22434438786,-2.55036938731,-94.6615066637,-64.4287467621,-1539.34943607,526.435836232,-70221.194471,-1905.53522867,-226635.217625,-40249.4277087,-64604.7686418,2360.24007021,-111265.581055,3.11808855168,-178310.256344,224.108967023,-24350.479571,-1.05424516032,-11341.6334527,2.16549573259,-3649.14785154,-839.760443807,-821.650894164,3.76849390904,-252.74184419,1.05415642236,-41.7509920098,-6.35742034291,-3.84930620923,3.27760210498,-6.3424507869,4.84092118166
50,PrF,3.3339260489,-2.55975987548,-89.6575549134,-60.2796528966,-1539.35474284,526.473281354,-70214.2882204,-1892.03671627,-226635.274554,-40249.4673553,-64604.7781713,2403.51031286,-111265.581625,3.70166132749,-178310.256367,228.108861814,-24350.4795764,-1.05549136352,-11341.6232833,2.29371179236,-3649.14778891,-839.760322993,-821.650891893,3.67263438608,-252.74184371,1.03215022607,-41.75093952,-6.35734150169,-3.83422405003,2.82690082655,-6.26949258712,4.77602893791
51,SmF,3.3725623398,-2.59505561736,-96.5119782022,-67.6132537238,-1539.39257424,526.755040595,-70194.5393199,-1875.28115654,-226635.737434,-40249.7897092,-64604.8556522,2755.32776889,-111265.586259,8.44651523464,-178310.256501,251.013394181,-24350.4796075,-1.06262748269,-11341.5650508,3.02791371583,-3649.14790267,-839.760542439,-821.650896018,3.84675337333,-252.741844581,1.0721222332,-41.7510120062,-6.3574503462,-3.1374521162,3.29470784113,-6.3121262487,4.81394919865
52,NdF,3.45668550834,-2.60252420054,-90.8265562388,-64.9391888644,-1539.38019819,526.67908477,-70196.1544602,-1871.38467373,-226635.696531,-40249.7612244,-64604.8488056,2724.23940509,-111265.58585,8.02723723596,-178310.25654,257.756872182,-24350.4796167,-1.06472847548,-11341.5479062,3.24407493444,-3649.1477738,-839.760293847,-821.650891345,3.6495087387,-252.741843594,1.02684134467,-41.7509378331,-6.35733896868,-3.83402172598,2.82085209195,-6.27418573813,4.7802032336
53,LuF,3.30179282642,-1.941472272,-93.6839618204,-69.389139425,-1539.37883229,526.655503871,-70217.1366418,-1905.3050148,-226635.223263,-40249.4316357,-64604.7695857,2364.5259568,-111265.581112,3.17589195241,-178310.256346,224.50515574,-24350.4795715,-1.05436860067,-11341.6324454,2.17819602067,-3649.14762652,-839.760009758,-821.650886005,3.42409876501,-252.741842466,0.975094611855,-41.7509424355,-6.35734587955,-3.83454494483,2.83450540946,-6.2313394948,4.74209389326
54,EuS,1.08627620331,-2.9586000175,-134.529358802,-70.2320888629,-1536.46827006,530.437501053,-70155.4807939,-1907.8033819,-226635.903311,-40249.9052282,-64604.8834183,2881.40534436,-111265.58792,10.1468851125,-178310.256625,272.285215852,-24350.4796364,-1.06925491102,-11341.5109693,3.70977851037,-3649.14780663,-839.760357171,-821.650892535,3.69975282922,-252.741843846,1.03837572651,-41.7509389735,-6.35734068112,-3.83416196376,2.82528326794,-6.27461658944,4.78058645178
55,YbS,0.839654361636,-2.96372851039,-128.375918135,-62.3113466192,-1538.76289798,526.60033281,-70314.78056,-2037.55456686,-226633.388019,-40248.1535522,-64604.4623859,969.62441282,-111265.562737,-15.6367161659,-178310.255594,95.5611544472,-24350.4793964,-1.0141949139,-11341.9602728,-1.95508591391,-3649.14621776,-839.757292391,-821.650834925,1.26801457018,-252.741831678,0.480128489656,-41.7509991577,-6.35743106765,-3.84103891392,3.01406708299,-5.75779266652,4.32090043862
